Issue key,Project key,Issue Type,Summary,Description,Priority,Status,Component/s,Environment,Reporter,Created,Current Team,Owning Team,HPS Triage Class
FRA-40000,FRA,Bug,It doesn't work,Cannot reproduce locally. Need timestamps.,Medium,Waiting for customer,Issuer-Auth,Production,m.ali,9/8/2025 14:52,Issuer-Team,Issuer-Team,need_more_info
SWT-40001,SWT,Task,Switch routing table failed over unexpectedly,"Expected auth approval, actual decline. Component Acquirer-Route, Env=Development.",Low,In Progress,Acquirer-Route,Development,r.ghali,8/5/2025 17:14,Switch-Team,Acquirer-Team,forward_other_team
SET-40002,SET,Task,It doesn't work,Missing PAN mask and environment.,Highest,Waiting for customer,Issuer-Auth,Development,s.fassi,8/4/2025 9:35,Issuer-Team,Issuer-Team,need_more_info
MOB-40003,MOB,Bug,Auto ping: heartbeat ok,Auto-generated monitoring. No action required.,Low,Closed,Issuer-Auth,UAT,a.hassan,8/23/2025 16:24,Issuer-Team,Issuer-Team,discard
SET-40004,SET,Service Request,Merchant portal export fails for >10k rows,Logs attached. Route to owning team for POS-Integration. Env=Development.,Highest,In Progress,POS-Integration,Development,k.amine,4/12/2025 14:51,Mobile-Team,Acquirer-Team,forward_other_team
MOB-40005,MOB,Bug,It doesn't work,Missing PAN mask and environment.,Highest,Waiting for customer,3DS-Challenge,Staging,m.ali,8/26/2025 14:48,3DS-Team,3DS-Team,need_more_info
PCA-40006,PCA,Task,TEST ticket - ignore,Duplicate created by webhook glitch.,Highest,Closed,POS-Integration,Android,s.fassi,5/8/2025 9:34,Acquirer-Team,Acquirer-Team,discard
FRA-40007,FRA,Task,TEST ticket - ignore,Duplicate created by webhook glitch.,Low,Closed,3DS-Challenge,iOS,o.lamia,5/15/2025 13:16,3DS-Team,3DS-Team,discard
FRA-40008,FRA,Bug,Fraud score threshold wrong for MCC 5411,"Expected auth approval, actual decline. Component POS-Integration, Env=Staging.",High,In Progress,POS-Integration,Staging,h.ben,8/4/2025 11:29,Fraud-Team,Acquirer-Team,forward_other_team
SET-40009,SET,Incident,Monitoring noise: CPU normal,Auto-generated monitoring. No action required.,Low,Closed,Issuer-Dispute,Android,a.hassan,9/2/2025 23:08,Issuer-Team,Issuer-Team,discard
